#,platforms,url,title,Creation date,Modified date,Short ID,Manual sorting,Entity
1,tumblr,https://www.statista.com/statistics/261925/unique-visitors-to-tumblrcom/,"In April 2023, the social network Tumblr.com had 222.7 million website visits worldwide, down from 244.2 million site visits in January 2023. In December 2018, the platform banned porn and adult content, a controversial move that sparked user outrage and caused artists and sex workers to move to other sites.",30.09.2023 17:24,30.09.2023 17:24,494FXO,0,
2,tumblr,https://marketsplash.com/tumblr-statistics/,"Gen Z constitutes 40% of the user demographic on Tumblr, while Millennials make up 30% of the platform's user base.",30.09.2023 17:34,30.09.2023 17:34,VGODOE,0,
