#,platform,privacy-policy,terms-of-service,cookie-policy,contact-form,Creation date,Modified date,Short ID,Manual sorting,Entity
1,webflow,https://webflow.com/legal/privacy,https://webflow.com/legal/terms,https://webflow.com/legal/cookie-policy,,15.09.2023 00:28,15.09.2023 00:28,KHAU5T,0,
2,blogger,https://policies.google.com/u/0/privacy,https://policies.google.com/u/0/terms,,,16.09.2023 21:44,16.09.2023 21:44,HDORSH,0,
3,medium,https://policy.medium.com/medium-privacy-policy-f03bf92035c9,https://policy.medium.com/medium-terms-of-service-9db0094a1e0f,,https://help.medium.com/hc/en-us/requests/new,16.09.2023 21:52,16.09.2023 21:53,6MSS0I,0,
